year,category,winner,entity
1927,ACTOR,TRUE,Emil Jannings
1928,ACTOR,TRUE,Warner Baxter
1929,ACTOR,TRUE,George Arliss
1930,ACTOR,TRUE,Lionel Barrymore
1931,ACTOR,TRUE,Wallace Beery
1931,ACTOR,TRUE,Fredric March
1932,ACTOR,TRUE,Charles Laughton
1934,ACTOR,TRUE,Clark Gable
1935,ACTOR,TRUE,Victor McLaglen
1936,ACTOR,TRUE,Paul Muni
1937,ACTOR,TRUE,Spencer Tracy
1938,ACTOR,TRUE,Spencer Tracy
1939,ACTOR,TRUE,Robert Donat
1940,ACTOR,TRUE,James Stewart
1941,ACTOR,TRUE,Gary Cooper
1942,ACTOR,TRUE,James Cagney
1943,ACTOR,TRUE,Paul Lukas
1944,ACTOR,TRUE,Bing Crosby
1945,ACTOR,TRUE,Ray Milland
1946,ACTOR,TRUE,Fredric March
1947,ACTOR,TRUE,Ronald Colman
1948,ACTOR,TRUE,Laurence Olivier
1949,ACTOR,TRUE,Broderick Crawford
1950,ACTOR,TRUE,José Ferrer
1951,ACTOR,TRUE,Humphrey Bogart
1952,ACTOR,TRUE,Gary Cooper
1953,ACTOR,TRUE,William Holden
1954,ACTOR,TRUE,Marlon Brando
1955,ACTOR,TRUE,Ernest Borgnine
1956,ACTOR,TRUE,Yul Brynner
1957,ACTOR,TRUE,Alec Guinness
1958,ACTOR,TRUE,David Niven
1959,ACTOR,TRUE,Charlton Heston
1960,ACTOR,TRUE,Burt Lancaster
1961,ACTOR,TRUE,Maximilian Schell
1962,ACTOR,TRUE,Gregory Peck
1963,ACTOR,TRUE,Sidney Poitier
1964,ACTOR,TRUE,Rex Harrison
1965,ACTOR,TRUE,Lee Marvin
1966,ACTOR,TRUE,Paul Scofield
1967,ACTOR,TRUE,Rod Steiger
1968,ACTOR,TRUE,Cliff Robertson
1969,ACTOR,TRUE,John Wayne
1970,ACTOR,TRUE,George C. Scott
1971,ACTOR,TRUE,Gene Hackman
1972,ACTOR,TRUE,Marlon Brando
1973,ACTOR,TRUE,Jack Lemmon
1974,ACTOR,TRUE,Art Carney
1975,ACTOR,TRUE,Jack Nicholson